protein_group,sequence_count
sp|A0A024R1R8|TMA7B_HUMAN;sp|Q9Y2S6|TMA7_HUMAN,1
sp|A0A075B759|PAL4E_HUMAN;sp|A0A075B767|PAL4H_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|P0DN37|PAL4G_HUMAN;sp|P62937|PPIA_HUMAN;sp|Q9Y536|PAL4A_HUMAN,1
sp|A0A075B759|PAL4E_HUMAN;sp|A0A075B767|PAL4H_HUMAN;sp|A0A0B4J2A2|PAL4C_HUMAN;sp|F5H284|PAL4D_HUMAN;sp|P0DN26|PAL4F_HUMAN;sp|P62937|PPIA_HUMAN;sp|Q9Y536|PAL4A_HUMAN,1
sp|A0A096LNW5|NT2NR_HUMAN;sp|P0DPK3|NT2NB_HUMAN;sp|P0DPK4|NT2NC_HUMAN;sp|Q04721|NOTC2_HUMAN;sp|Q7Z3S9|NT2NA_HUMAN,1
sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN,4
sp|A0A1B0GUS4|UB2L5_HUMAN;sp|P68036|UB2L3_HUMAN,3
sp|A0A1B0GUY1|MRCOL_HUMAN,1
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN,5
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN,5
sp|A0A2R8Y619|H2BK1_HUMAN;sp|O60814|H2B1K_HUMAN;sp|P06899|H2B1J_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P57053|H2BFS_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P62807|H2B1C_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q96A08|H2B1A_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99880|H2B1L_HUMAN,2
sp|A0A3B3IRV3|MCTS2_HUMAN;sp|Q9ULC4|MCTS1_HUMAN,4
sp|A0A8I5KQE6|RPSA2_HUMAN;sp|P08865|RSSA_HUMAN,9
sp|A0AVT1|UBA6_HUMAN,21
sp|A0FGR8|ESYT2_HUMAN,11
sp|A0JLT2|MED19_HUMAN,1
sp|A0MZ66|SHOT1_HUMAN,3
sp|A1L020|MEX3A_HUMAN;sp|Q5U5Q3|MEX3C_HUMAN;sp|Q6ZN04|MEX3B_HUMAN;sp|Q86XN8|MEX3D_HUMAN,1
sp|A1L0T0|HACL2_HUMAN,12
sp|A1L390|PKHG3_HUMAN,1
sp|A1X283|SPD2B_HUMAN,10
sp|A1X283|SPD2B_HUMAN;sp|Q5TCZ1|SPD2A_HUMAN,2
sp|A2A3N6|PIPSL_HUMAN;sp|P55036|PSMD4_HUMAN,2
sp|A2A3N6|PIPSL_HUMAN;sp|Q99755|PI51A_HUMAN,3
sp|A2RTX5|SYTC2_HUMAN;sp|P26639|SYTC_HUMAN,3
sp|A2RUR9|C144A_HUMAN;sp|Q3MJ40|C144B_HUMAN;sp|Q8IYA2|C144C_HUMAN,1
sp|A3KMH1|VWA8_HUMAN,3
sp|A4D1E9|GTPBA_HUMAN,3
sp|A4FU69|EFCB5_HUMAN,1
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,2
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,1
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P0CG39|POTEJ_HUMAN;sp|P60709|ACTB_HUMAN;sp|P63261|ACTG_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,2
sp|A5A3E0|POTEF_HUMAN;sp|P0CG38|POTEI_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q6S8J3|POTEE_HUMAN,2
sp|A5A3E0|POTEF_HUMAN;sp|P60709|ACTB_HUMAN;sp|P62736|ACTA_HUMAN;sp|P63261|ACTG_HUMAN;sp|P63267|ACTH_HUMAN;sp|P68032|ACTC_HUMAN;sp|P68133|ACTS_HUMAN;sp|Q562R1|ACTBL_HUMAN;sp|Q6S8J3|POTEE_HUMAN;sp|Q9BYX7|ACTBM_HUMAN,1
sp|A5YKK6|CNOT1_HUMAN,28
sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN,1
sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN;sp|Q9H492|MLP3A_HUMAN,1
sp|A6NDG6|PGP_HUMAN,5
sp|A6NDU8|RIMC1_HUMAN,4
sp|A6NEC2|PSAL_HUMAN;sp|P55786|PSA_HUMAN,12
sp|A6NF01|P121B_HUMAN;sp|A8CG34|P121C_HUMAN;sp|Q96HA1|P121A_HUMAN,1
sp|A6NFN3|RFOX3_HUMAN;sp|O43251|RFOX2_HUMAN;sp|Q9NWB1|RFOX1_HUMAN,1
sp|A6NHG4|DDTL_HUMAN;sp|P30046|DOPD_HUMAN,5
sp|A6NHL2|TBAL3_HUMAN,1
